location,division_rank
Bolzano,First Order Division
Italy,Country
Island Elba,namedPlace
Italy,Country
Auvergne,First Order Division
France,Country
Fleimstal,namedPlace
Tirol,First Order Division
Italy,Country
Liebenstein,namedPlace
Bohemia,namedPlace
Czechoslovakia,namedPlace
Skas Fjell,namedPlace
Tordal,namedPlace
Norway,Country
Charlottesville,Second Order Division
Virginia,First Order Division
USA,Second Order Division
Tunaberg,namedPlace
Sweden,Country
Turtula,namedPlace
Torno,namedPlace
Finland,Country
Frederiksvärn,namedPlace
Norway,Country
Norway,Country
Cornwall,First Order Division
United Kingdom,Country
Stokö near Brevig,namedPlace
Langesund,namedPlace
Norway,Country
Marianske,namedPlace
Bohemia,namedPlace
Czechoslovakia,namedPlace
Petshan,namedPlace
Arendal,Second Order Division
Norway,Country
Bohemia,namedPlace
Czechoslovakia,namedPlace
Karlovy Vary (Karlsbad),First Order Division
Bohemia,namedPlace
Czechoslovakia,namedPlace
Amberg,Second Order Division
Bavaria,namedPlace
Germany,Country
Windisch-Kappel,namedPlace
Kärnten,First Order Division
Austria,Country
Mine Hausbaden,namedPlace
Badenweiler,namedPlace
Schwarzwald,namedPlace
Germany,Country
Hofsgrund,namedPlace
Schauinsland,namedPlace
Schwarzwald,namedPlace
Germany,Country
Keswick,namedPlace
Cumberland,Second Order Division
United Kingdom,Country
Ober-Lahnstein,namedPlace
Germany,Country
Slavkow (= Schlaggenwald),namedPlace
Bohemia,namedPlace
Czechoslovakia,namedPlace
Hofsgrund,namedPlace
Schauinsland,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Mies,namedPlace
Bohemia,namedPlace
Czechoslovakia,namedPlace
Badenweiler,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Phoenixville,namedPlace
Pennsylvania,First Order Division
USA,Second Order Division
Prado Bahia,namedPlace
Brazil,Country
Fontainebleau,namedPlace
France,Country
Tolfa near Civitavecchia,namedPlace
Italy,Country
Shaft Marie near Staffelfelden,namedPlace
Westfalen,namedPlace
Germany,Country
Oklahoma,First Order Division
USA,Second Order Division
Tintic Standard Mine,namedPlace
Utah,First Order Division
USA,Second Order Division
Monte Poni,namedPlace
Sardinien,namedPlace
Italy,Country
Lausen,namedPlace
Liestal,Second Order Division
Baselland,namedPlace
Switzerland,Country
Ellenbogen,namedPlace
Bohemia,namedPlace
Czechoslovakia,namedPlace
Beresowsk,namedPlace
Ural,namedPlace
Sibirien,namedPlace
USSR,namedPlace
Ural,namedPlace
USSR,namedPlace
Ilmengebirge,namedPlace
Ural,namedPlace
USSR,namedPlace
Kilimandjaro,namedPlace
Tanzania,namedPlace
Colorado,First Order Division
USA,Second Order Division
Pikes Peak,namedPlace
Colorado,First Order Division
USA,Second Order Division
Ouro Preto,Second Order Division
Minas Gerais,First Order Division
Brazil,Country
Nevada,First Order Division
USA,Second Order Division
Lincoln,Second Order Division
USA,Second Order Division
Kisilia Area,namedPlace
Largido,namedPlace
Tanganjika,namedPlace
Tanzania,namedPlace
New Castle,Second Order Division
Delaware,First Order Division
USA,Second Order Division
Küste Labrador,namedPlace
Canada,Country
Ontario,First Order Division
USA,Second Order Division
